hash,wikipedia_article
0KUDclpK,https://en.wikipedia.org/wiki/Germano_Vailati
0MR68l8f,https://en.wikipedia.org/wiki/Mario_Gomez_(Peruvian_footballer)
0MWvMpbP,https://en.wikipedia.org/wiki/Alessandro_Sch%C3%B6pf
0MoFTxk9,https://en.wikipedia.org/wiki/Laurent_Koscielny
0OOo8uRt,https://en.wikipedia.org/wiki/Michel_Vorm
0OPG7uS0,https://en.wikipedia.org/wiki/Andrija_Bali%C4%87
0SJZRycC,https://en.wikipedia.org/wiki/Marc_Roca
0SL07GW7,https://en.wikipedia.org/wiki/Rey_Manaj
0SebIVqC,https://en.wikipedia.org/wiki/Fabian_Sch%C3%A4r
0SnrTUHP,https://en.wikipedia.org/wiki/Stefan_Aigner
0Sotihlt,"https://en.wikipedia.org/wiki/Armin_Hod%C5%BEi%C4%87_(footballer,_born_1994)"
0UjQjIwh,https://en.wikipedia.org/wiki/Omar_Gaber
0WS52psG,https://en.wikipedia.org/wiki/Pablo_Zabaleta
0WehpByJ,https://en.wikipedia.org/wiki/Francesco_Melzi
0WfF8Htr,https://en.wikipedia.org/wiki/Yoshimar_Yot%C3%BAn
0WmBe6U2,https://en.wikipedia.org/wiki/Dominic_Calvert-Lewin
0Y5mZX7o,https://en.wikipedia.org/wiki/Selcuk_Inan
0YMlqiSM,https://en.wikipedia.org/wiki/Raul
0YoSkDnp,https://en.wikipedia.org/wiki/Jason_Puncheon
0YxHaH7g,https://en.wikipedia.org/wiki/Andrew_Hjulsager
0bDEBms3,https://en.wikipedia.org/wiki/Jerome_Boateng
0bTs6QPA,https://en.wikipedia.org/wiki/James_McArthur
0bW8z8D6,https://en.wikipedia.org/wiki/Isaac_Cuenca
0dXiRqq2,https://en.wikipedia.org/wiki/Antoine_Rabillard
0dplLJNt,https://en.wikipedia.org/wiki/Rafa
0f1tMqQl,"https://en.wikipedia.org/wiki/Pedro_(footballer,_born_1987)"
0fL2Mgvj,https://en.wikipedia.org/wiki/Daniel_Drinkwater
0fPiq0ST,https://en.wikipedia.org/wiki/Jamaal_Lascelles
0fUlWedP,https://en.wikipedia.org/wiki/Borja_L%C3%B3pez
0fz0l5ik,https://en.wikipedia.org/wiki/Marcio_Azevedo
0h2P2MK0,https://en.wikipedia.org/wiki/Juan_Dominguez_(soccer)
0hWAi5d7,https://en.wikipedia.org/wiki/Alex_Cordaz
0hhZf7S7,https://en.wikipedia.org/wiki/Guillermo_Federico_Molins_Palmeiro
0hwq3S9a,https://en.wikipedia.org/wiki/Kevin_Diks
0hxFjbCm,https://en.wikipedia.org/wiki/Aissa_Mandi
0jwc2VzN,https://en.wikipedia.org/wiki/Ermin_Bicakcic
0lUCI6bq,https://en.wikipedia.org/wiki/Marco_Parolo
0lXEcRAp,https://en.wikipedia.org/wiki/Bersant_Celina
0lnOPjCs,https://en.wikipedia.org/wiki/Luca_Rigoni
0n47HjDo,https://en.wikipedia.org/wiki/Norbert_Balogh
0nQhrI82,https://en.wikipedia.org/wiki/Simone_Scuffet
0p745Avn,https://en.wikipedia.org/wiki/Bruno_Martella
0pP8We9B,https://en.wikipedia.org/wiki/Marius_Wolf
0pnPeHR3,https://en.wikipedia.org/wiki/Marcel_Sch%C3%A4fer
0rBOpIZL,https://en.wikipedia.org/wiki/Gorka_Iraizoz
0rM28Wn3,https://en.wikipedia.org/wiki/Andr%C3%A9s_Tello
0tMMdfYN,https://en.wikipedia.org/wiki/Serhiy_Sydorchuk
0tN8bFmr,https://en.wikipedia.org/wiki/Timon_Wellenreuther
0tOkXfCH,https://en.wikipedia.org/wiki/Victor_Sanchez
0v5eFtQs,https://en.wikipedia.org/wiki/Haris_Seferovic
0vHnNHMh,https://en.wikipedia.org/wiki/Renato_Neto
0vKpD6vn,https://en.wikipedia.org/wiki/Jake_Clarke-Salter
0vLnUdTa,"https://en.wikipedia.org/wiki/Juanmi_(footballer,_born_1993)"
0vNOfJmi,https://en.wikipedia.org/wiki/Uros_Cosic
0vgcq6un,https://en.wikipedia.org/wiki/Robin_van_Persie
0xJj8wnS,https://en.wikipedia.org/wiki/Jozabed
0xdaVm8d,https://en.wikipedia.org/wiki/Jonathan_Howson
0xmRfwtl,https://en.wikipedia.org/wiki/Gerrit_Holtmann
0xnrVdqC,https://en.wikipedia.org/wiki/Remko_Pasveer
0zIF6Wg2,https://en.wikipedia.org/wiki/Fidel
0zO9SfkA,https://en.wikipedia.org/wiki/%C3%81lvaro_Odriozola
0zYqWxIq,https://en.wikipedia.org/wiki/Marco_Fabi%C3%A1n
0zd8jKI5,https://en.wikipedia.org/wiki/Luca_Mazzitelli
218kjyOb,https://en.wikipedia.org/wiki/Glenn_Murray
219bD5Kr,https://en.wikipedia.org/wiki/Federico_Ravaglia
21GK3tIU,https://en.wikipedia.org/wiki/Koen_Casteels
21HxATjA,https://en.wikipedia.org/wiki/Lopez
23FjIMq7,https://en.wikipedia.org/wiki/Konstantinos_Mitroglou
23PQ0URD,https://en.wikipedia.org/wiki/Eugenio_Lamanna
250rn438,https://en.wikipedia.org/wiki/David_L%C3%B3pez
25OhQNhD,https://en.wikipedia.org/wiki/Michele_Camporese
25dW6RW6,https://en.wikipedia.org/wiki/Lacina_Traor%C3%A9
25fn69FG,https://en.wikipedia.org/wiki/Roberto_Rosales
25pYgWXI,https://en.wikipedia.org/wiki/Lucas_Andersen
25x3VJrm,https://en.wikipedia.org/wiki/Marco_H%C3%B6ger
25zBQ1q4,https://en.wikipedia.org/wiki/Jasper_Cillessen
275lGwQl,https://en.wikipedia.org/wiki/Nathan_Dyer
27U3P9mT,"https://en.wikipedia.org/wiki/Fernando_Pacheco_(footballer,_born_1999)"
27fpNoQk,https://en.wikipedia.org/wiki/Matthias_Ginter
27wfPXuP,https://en.wikipedia.org/wiki/Sebastian_Pr%C3%B6dl
29AKwD0P,https://en.wikipedia.org/wiki/Ikechukwu_Uche
29ORgAw5,"https://en.wikipedia.org/wiki/Gabriel_(footballer,_born_September_1992)"
2B1zRbP5,https://en.wikipedia.org/wiki/Frederik_S%C3%B8rensen
2BDpT8l6,https://en.wikipedia.org/wiki/Serge_Gakp%C3%A9
2BS7SqE2,https://en.wikipedia.org/wiki/Kevin_Stewart_(footballer)
2BmsE2u8,https://en.wikipedia.org/wiki/Michel_Macedo_(footballer)
2DWooYCC,https://en.wikipedia.org/wiki/Patrice_Evra
2Dhm8fV7,https://en.wikipedia.org/wiki/Paul-Georges_Ntep
2DkHTsUk,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Kamano
2DlPjwVK,https://en.wikipedia.org/wiki/Jose_Enrique
2DqOMBQ1,https://en.wikipedia.org/wiki/Jerome_Sinclair
2FJEi4fn,https://en.wikipedia.org/wiki/Neven_Suboti%C4%87
2FNYfTb1,https://en.wikipedia.org/wiki/Moritz_Hartmann_(footballer)
2FV05Jm7,https://en.wikipedia.org/wiki/Dominik_Stroh-Engel
2FheGZdd,https://en.wikipedia.org/wiki/Alen_Halilovi%C4%87
2H2ruXmP,https://en.wikipedia.org/wiki/Juan_Vargas_(footballer)
2HErrnlb,https://en.wikipedia.org/wiki/Thomas_Vermaelen
2Hcye1sn,https://en.wikipedia.org/wiki/Allan_Nyom
2Hfbrvfd,https://en.wikipedia.org/wiki/Manu_Herrera
2HjNXxXm,https://en.wikipedia.org/wiki/Ezequiel_Garay
2Hs3xiw6,https://en.wikipedia.org/wiki/Amadou_Diawara
2JJEq7ZB,https://en.wikipedia.org/wiki/Cesare_Bovo
2JJel8HF,https://en.wikipedia.org/wiki/Molla_Wagu%C3%A9
2JlKB6Xm,https://en.wikipedia.org/wiki/Josh_Cullen
2JsUqijl,https://en.wikipedia.org/wiki/Axel_Witsel
2JwK7ZfJ,"https://en.wikipedia.org/wiki/Fernandinho_(footballer,_born_May_1985)"
2Jwz26pn,https://en.wikipedia.org/wiki/Jordi_Amat_(footballer)
2L5gbR8M,https://en.wikipedia.org/wiki/Alex_Iwobi
2LChHsT0,"https://en.wikipedia.org/wiki/Nemanja_Nikoli%C4%87_(footballer,_born_1987)"
2LbLnv8A,https://en.wikipedia.org/wiki/Alex_Bergantinos
2Lhgl7Mf,https://en.wikipedia.org/wiki/Jonjo_Shelvey
2LrADTME,https://en.wikipedia.org/wiki/Kaan_Ayhan
2N1NBHis,https://en.wikipedia.org/wiki/Angelo_Palombo
2NFO43P6,https://en.wikipedia.org/wiki/Carles_Planas
2NVHeVMF,https://en.wikipedia.org/wiki/Edson_Braafheid
2PFFRIPB,https://en.wikipedia.org/wiki/Artem_Byesyedin
2PSAGsv8,https://en.wikipedia.org/wiki/Ivan_Kelava
2PZuGsll,https://en.wikipedia.org/wiki/Pablo_Insua
2Prv8OYO,https://en.wikipedia.org/wiki/Enzo_P%C3%A9rez
2R03aynj,https://en.wikipedia.org/wiki/Alessio_Zerbin
2Rrnmrcp,https://en.wikipedia.org/wiki/Ulisses_Garcia
2Va6jkSe,https://en.wikipedia.org/wiki/Julian_Baumgartlinger
2VpTGXlE,https://en.wikipedia.org/wiki/David_Soria
2X4zNEPc,https://en.wikipedia.org/wiki/Ivan_Strini%C4%87
2XJ8qBI1,https://en.wikipedia.org/wiki/Diego_Llorente
2XhnQxcG,https://en.wikipedia.org/wiki/Aleksandar_Kolarov
2XnIOLsp,https://en.wikipedia.org/wiki/Nicolas_Pallois
2XnoVMAM,https://en.wikipedia.org/wiki/Aleksandrs_Cau%C5%86a
2Z11gzUL,https://en.wikipedia.org/wiki/Mart%C3%ADn_Demichelis
2ZETouZ5,https://en.wikipedia.org/wiki/Diederik_Boer
2ZHNbzn8,https://en.wikipedia.org/wiki/Julio_Cesar
2ZXLksyt,https://en.wikipedia.org/wiki/Yordan_Minev
2ZajiHXQ,https://en.wikipedia.org/wiki/Marc_Torrej%C3%B3n
2Zbv6jie,https://en.wikipedia.org/wiki/Jack_Rose_(footballer)
2Ze9s2IJ,https://en.wikipedia.org/wiki/Jores_Okore
2ZzJ4vsq,https://en.wikipedia.org/wiki/Guido_Guerrieri
2aAFmtDN,"https://en.wikipedia.org/wiki/Danilo_(footballer,_born_1984)"
2aFg6WHc,https://en.wikipedia.org/wiki/Alessandro_Gazzi
2aRdUxmk,https://en.wikipedia.org/wiki/Pape_Souar%C3%A9
2afsxUiN,https://en.wikipedia.org/wiki/Pavel_Mogilevets
2c4AueOM,https://en.wikipedia.org/wiki/Mats_Hummels
2c7LCGJR,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Palomino
2cH37i4F,https://en.wikipedia.org/wiki/Julian_G%C3%BCnther-Schmidt
2ciZOLrI,https://en.wikipedia.org/wiki/Gianluca_Gaudino
2cpouZhq,https://en.wikipedia.org/wiki/Theo_Walcott
2e5jnkea,https://en.wikipedia.org/wiki/Gareth_McAuley
2empGF74,https://en.wikipedia.org/wiki/Andrea_Masiello
2gqO56Xu,https://en.wikipedia.org/wiki/Mouctar_Diakhaby
2kfSDavF,https://en.wikipedia.org/wiki/Andrea_Pirlo
2kr0nEaK,"hthttps://en.wikipedia.org/wiki/Maicon_(footballer,_born_September_1988)"
2kuP6src,https://en.wikipedia.org/wiki/Fred
2m1MxhW3,https://en.wikipedia.org/wiki/Claudio_Yacob
2mPjO0Qb,https://en.wikipedia.org/wiki/Mergim_Mavraj
2meQdcrC,https://en.wikipedia.org/wiki/Danijel_Subasic
2mkPasKP,https://en.wikipedia.org/wiki/Jannik_Vestergaard
2mm76ep2,https://en.wikipedia.org/wiki/Didier_Drogba
2oCP2k5Q,https://en.wikipedia.org/wiki/Stephan_Lichtsteiner
2oFwRWVA,https://en.wikipedia.org/wiki/David_Concha
2oMimkAU,https://en.wikipedia.org/wiki/Radamel_Falcao
2oNcL0Z9,https://en.wikipedia.org/wiki/Accursio_Bentivegna
2oQBM6hE,https://en.wikipedia.org/wiki/Jonathan_dos_Santos_(Uruguayan_footballer)
2q9g9abc,https://en.wikipedia.org/wiki/Nikola_Maksimovi%C4%87
2qCKV2dB,https://en.wikipedia.org/wiki/David_Kinsombi
2qXd9yom,https://en.wikipedia.org/wiki/Francis_Coquelin
2qfaierQ,https://en.wikipedia.org/wiki/Max_Christiansen
2s2ATpKI,https://en.wikipedia.org/wiki/Lucas_Ocampos
2s8FlQZk,https://en.wikipedia.org/wiki/Piotr_Trochowski
2s9LzQjD,https://en.wikipedia.org/wiki/Avi_Rikan
2sJ8He5E,https://en.wikipedia.org/wiki/Timothy_Fosu-Mensah
2sPPKXyd,https://en.wikipedia.org/wiki/Salih_%C3%96zcan
2slo0WN2,https://en.wikipedia.org/wiki/Odysseas_Vlachodimos
2u1zBSC4,https://en.wikipedia.org/wiki/Antonio_Mirante
2uMbqK4a,"https://en.wikipedia.org/wiki/Francisco_Varela_(footballer,_born_1994)"
2uSo3c2c,https://en.wikipedia.org/wiki/Raul_Albentosa
2uX9qPUH,https://en.wikipedia.org/wiki/Jon_Aurtenetxe
2ukcBSGo,https://en.wikipedia.org/wiki/Sebastian_Rode
2wCEQg05,https://en.wikipedia.org/wiki/Nordin_Amrabat
2wOM3Nuj,https://en.wikipedia.org/wiki/Tobias_Kempe
2wlnGZ6O,https://en.wikipedia.org/wiki/Sergio_Asenjo
2wrNt1bc,https://en.wikipedia.org/wiki/Jeremain_Lens
2wvWBlyT,https://en.wikipedia.org/wiki/Andr%C3%A9-Pierre_Gignac
2wwMMwAa,https://en.wikipedia.org/wiki/Julian_Weigl
2y9qaipI,"https://en.wikipedia.org/wiki/Pepe_(footballer,_born_1983)"
2yFG2BO6,https://en.wikipedia.org/wiki/Lorenzo_Tonelli
2yZSTLm6,https://en.wikipedia.org/wiki/Fay%C3%A7al_Fajr
2yf8EcuE,https://en.wikipedia.org/wiki/Jonathan_Taylor_(American_football)
401Iv9JD,https://en.wikipedia.org/wiki/Celso_Borges
40wafXg4,https://en.wikipedia.org/wiki/Ivan_Ordets
40zt37bl,https://en.wikipedia.org/wiki/Dzenis_Burnic
420NkI4K,https://en.wikipedia.org/wiki/Fabien_Lemoine
42ADo7dd,https://en.wikipedia.org/wiki/Christian_Kabasele
42SIX9sl,https://en.wikipedia.org/wiki/Jordi_Alba
42bZ9YzP,https://en.wikipedia.org/wiki/Alexander_S%C3%B8derlund
42tMVVQa,https://en.wikipedia.org/wiki/Peter_Pekar%C3%ADk
44AZIBAr,https://en.wikipedia.org/wiki/Diego_Gonzalez_(footballer)
44Gx43ai,https://en.wikipedia.org/wiki/Serantes
44N4bAR7,https://en.wikipedia.org/wiki/Pietro_Iemmello
46YCiQYc,https://en.wikipedia.org/wiki/Maxime_Gonalons
46cDKzxB,https://en.wikipedia.org/wiki/Aleix_Vidal
48S9d2N4,https://en.wikipedia.org/wiki/Danny_Ward_(Welsh_footballer)
48VEJ842,https://en.wikipedia.org/wiki/Artur
48afumin,https://en.wikipedia.org/wiki/Maurizio_Domizzi
4AbKyVr9,https://en.wikipedia.org/wiki/Ivan_Perisic
4AmhGqC0,https://en.wikipedia.org/wiki/Alessandro_Mastalli
4CGSI3W0,https://en.wikipedia.org/wiki/Suleyman_Koc
4CItXkt4,"https://en.wikipedia.org/wiki/Natanael_(footballer,_born_1990)"
4CNfejEA,https://en.wikipedia.org/wiki/Ronny
4Cmpp5sT,https://en.wikipedia.org/wiki/Fabricio
4ELm431k,https://en.wikipedia.org/wiki/Roman_Bezjak
4Etu1TFF,https://en.wikipedia.org/wiki/Pizzi_(Portuguese_footballer)
4Ev9Lil4,https://en.wikipedia.org/wiki/Emiliano_Sala
4GTWwyMK,https://en.wikipedia.org/wiki/Anders_Christiansen
4GY5jrfM,https://en.wikipedia.org/wiki/Lynden_Gooch
4InuIizr,https://en.wikipedia.org/wiki/Milan_Badelj
4KIRkYpi,https://en.wikipedia.org/wiki/Uche_Agbo
4Kc8pWIJ,https://en.wikipedia.org/wiki/Sergio_Pellissier
4KovAdLb,https://en.wikipedia.org/wiki/Atsuto_Uchida
4KyA8LIf,https://en.wikipedia.org/wiki/Ezequiel_Mu%C3%B1oz
4MB78NvI,https://en.wikipedia.org/wiki/Naby_Ke%C3%AFta
4Mh9ACbl,https://en.wikipedia.org/wiki/Andrey_Arshavin
4O57dlJp,"https://en.wikipedia.org/wiki/Francisco_Portillo_(footballer,_born_1990)"
4O9g2qH0,https://en.wikipedia.org/wiki/Youn%C3%A8s_Belhanda
4QATUtMO,https://en.wikipedia.org/wiki/Darko_Lazovi%C4%87
4QCw9mkq,https://en.wikipedia.org/wiki/Bojan_Joki%C4%87
4QFT6q49,https://en.wikipedia.org/wiki/Maxime_Lopez
4QhJRMoH,https://en.wikipedia.org/wiki/Kevin_Monnet-Paquet
4S5pmY6k,https://en.wikipedia.org/wiki/Luca_Toni
4S9fNUYh,https://en.wikipedia.org/wiki/Ciro_Immobile
4SOTAaN0,https://en.wikipedia.org/wiki/Mariano
4SPjLLiR,https://en.wikipedia.org/wiki/Gareth_Bale
4ScdNNhe,"https://en.wikipedia.org/wiki/%C3%81lvaro_Gonz%C3%A1lez_(footballer,_born_1990)"
4St8fvuL,https://en.wikipedia.org/wiki/Jonathan_Caf%C3%BA
4UOgBotB,https://en.wikipedia.org/wiki/Mato_Jajalo
4WeqhyyI,https://en.wikipedia.org/wiki/Fabi%C3%A1n_Orellana
4WfxXiUm,https://en.wikipedia.org/wiki/Ruben_Blanco_Veiga
4Y21LMg6,https://en.wikipedia.org/wiki/Rub%C3%A9n_Rochina
4YbnQFUo,https://en.wikipedia.org/wiki/Ralf_F%C3%A4hrmann
4YoV0hmC,https://en.wikipedia.org/wiki/Arthur_Masuaku
4YujPpfM,https://en.wikipedia.org/wiki/Nikita_Chernov
4bTqh1H2,https://en.wikipedia.org/wiki/Adrien_Thomasson
4f084TL7,https://en.wikipedia.org/wiki/Mateo_Kovacic
4f5gPK1B,https://en.wikipedia.org/wiki/Erdal_Rakip
4fAq5BOl,https://en.wikipedia.org/wiki/Roberto_Hilbert
4fmsLyMH,https://en.wikipedia.org/wiki/Moustapha_Seck
4ftp3txa,https://en.wikipedia.org/wiki/Georgi_Milanov_(footballer)
4hoV7Fy0,https://en.wikipedia.org/wiki/Paolo_Sammarco
4j0fWBJT,https://en.wikipedia.org/wiki/Wesley_Lautoa
4j2lRKqG,https://en.wikipedia.org/wiki/Bernardo_Espinosa
4n2tT7Wi,https://en.wikipedia.org/wiki/Ashley_Cole
4nQc78qp,https://en.wikipedia.org/wiki/Moussa_Sissoko
4p5YvqWE,https://en.wikipedia.org/wiki/Joel_Robles
4pLYUvIp,"https://en.wikipedia.org/wiki/Juninho_(footballer,_born_December_1990)"
4pQawjUd,"https://en.wikipedia.org/wiki/Manu_Garc%C3%ADa_(footballer,_born_1986)"
4puoBuQp,https://en.wikipedia.org/wiki/Cani
4pyJxy7o,https://en.wikipedia.org/wiki/Sandro_Sirigu
4r69VfV2,https://en.wikipedia.org/wiki/Erik_Lamela
4rSZHs2M,https://en.wikipedia.org/wiki/Gary_O%27Neil
4rYujtJ7,https://en.wikipedia.org/wiki/Tolgay_Arslan
4rpQeIAP,"https://en.wikipedia.org/wiki/Javi_L%C3%B3pez_(footballer,_born_1986)"
4ry5sueR,https://en.wikipedia.org/wiki/Mouhamadou_Sarr
4tZQ8ZHA,https://en.wikipedia.org/wiki/Giandomenico_Mesto
4tm5M2fq,https://en.wikipedia.org/wiki/Gianluca_Curci
4toh0E9q,https://en.wikipedia.org/wiki/Pontus_Jansson
4vBCuokL,https://en.wikipedia.org/wiki/Mikhail_Gordeychuk
4vZGRgLG,https://en.wikipedia.org/wiki/Paul_Seguin
4vwiuzXQ,https://en.wikipedia.org/wiki/Florent_Hadergjonaj
4x9m3pud,https://en.wikipedia.org/wiki/Ljubomir_Fejsa
4xYjfkEG,"https://en.wikipedia.org/wiki/Ionu%C8%9B_Rada_(footballer,_born_1990)"
4xaFIVBa,https://en.wikipedia.org/wiki/Gennaro_Sardo
4xght11d,https://en.wikipedia.org/wiki/Ryan_Bennett
4z2CNEqN,https://en.wikipedia.org/wiki/Josip_Ilicic
4zA5n1UG,https://en.wikipedia.org/wiki/Yann_Sommer
4zFvpLV4,https://en.wikipedia.org/wiki/Jean-K%C3%A9vin_Augustin
4zJJRyqq,https://en.wikipedia.org/wiki/Cameron_Borthwick-Jackson
4zVgpTsf,https://en.wikipedia.org/wiki/Levy_Madinda
4zv75ECa,https://en.wikipedia.org/wiki/Bill_Tuiloma
619UPLrb,https://en.wikipedia.org/wiki/Raffaele_Palladino
63WKDBnI,https://en.wikipedia.org/wiki/Per_Skjelbred
63Z1rP3l,https://en.wikipedia.org/wiki/Julian_Green
63jKLoYD,https://en.wikipedia.org/wiki/Jonas_L%C3%B6ssl
63kfELtT,https://en.wikipedia.org/wiki/Martin_Samuelsen
654Na3IK,https://en.wikipedia.org/wiki/Mariusz_Stepinski
65AlIpKT,"https://en.wikipedia.org/wiki/Ben_Davies_(footballer,_born_1993)"
65F8DTep,https://en.wikipedia.org/wiki/Dimitri_Foulquier
65ZQWgft,https://en.wikipedia.org/wiki/Adam_Lallana
65awSbS3,https://en.wikipedia.org/wiki/Fernando_Muslera
65d7Zkun,https://en.wikipedia.org/wiki/Luso
65r6A1JB,https://en.wikipedia.org/wiki/Andre
65srZ2Lb,https://en.wikipedia.org/wiki/Fernando_Torres
6751MpES,https://en.wikipedia.org/wiki/Simone_Lo_Faso
676ppgYH,https://en.wikipedia.org/wiki/Kieran_Richardson
67A2Ub5M,"https://en.wikipedia.org/wiki/Javi_Garc%C3%ADa_(footballer,_born_1977)"
69L74Xgf,https://en.wikipedia.org/wiki/Alberto_Pelagotti
69o8nMM9,https://en.wikipedia.org/wiki/Luciano_Narsingh
6B0j360U,https://en.wikipedia.org/wiki/Tom_Starke
6BNPOpyR,"https://en.wikipedia.org/wiki/Francesco_Forte_(footballer,_born_1993)"
6BUWSZeH,https://en.wikipedia.org/wiki/Henri_Saivet
6BdSXunk,https://en.wikipedia.org/wiki/Jes%C3%A9
6Bxxhbca,https://en.wikipedia.org/wiki/Gregory_Sertic
6D28a48o,https://en.wikipedia.org/wiki/Philip_Heise
6D9ZNa5g,https://en.wikipedia.org/wiki/Tomas_Vaclik
6DBH2ptm,https://en.wikipedia.org/wiki/Bruma_(footballer)
6DEaqqeI,https://en.wikipedia.org/wiki/Oriol_Riera
6DpURWF8,https://en.wikipedia.org/wiki/Ruben_Loftus-Cheek
6HSsexVf,https://en.wikipedia.org/wiki/Luis_Hern%C3%A1ndez
6HUZxS6p,https://en.wikipedia.org/wiki/Samuele_Perisan
6Hc6XjrC,https://en.wikipedia.org/wiki/Stefanos_Kapino
6J1YV4wM,https://en.wikipedia.org/wiki/Julian
6L8O1396,https://en.wikipedia.org/wiki/Didier_Ndong
6L93gfZq,"https://en.wikipedia.org/wiki/Brice_Samba_(footballer,_born_1971)"
6LBvaQoh,https://en.wikipedia.org/wiki/Nathan_Ak%C3%A9
6Nhpi6A1,https://en.wikipedia.org/wiki/Paul-Jos%C3%A9_M%27Poku
6Nj04peg,https://en.wikipedia.org/wiki/Jordan_Ayew
6Nrp053I,https://en.wikipedia.org/wiki/Timoth%C3%A9e_Kolodziejczak
6NtwHZ7F,https://en.wikipedia.org/wiki/Wojciech_Szcz%C4%99sny
6PCSjJja,https://en.wikipedia.org/wiki/Maximilian_Philipp
6PHywlJK,https://en.wikipedia.org/wiki/David_Ospina
6PNNC25F,https://en.wikipedia.org/wiki/Dani_Abalo
6Pbkbcv3,https://en.wikipedia.org/wiki/Stefano_Gori
6PlpbQlH,https://en.wikipedia.org/wiki/Igor_%C5%81asicki
6RgXRdd8,https://en.wikipedia.org/wiki/Manuel_Locatelli
6RjwNXt6,https://en.wikipedia.org/wiki/Alfre%C3%B0_Finnbogason
6T2XWDGU,https://en.wikipedia.org/wiki/Alberto_Martin_Romo_Garcia_Adamez
6T3XjsFC,https://en.wikipedia.org/wiki/Fabian_Lustenberger
6TCxiBBr,https://en.wikipedia.org/wiki/Manuel_Nicoletti
6TXnXzjd,https://en.wikipedia.org/wiki/Sergio_Romero_(Colombian_footballer)
6ThXK0sd,https://en.wikipedia.org/wiki/Romulo
6Toof7nO,"https://en.wikipedia.org/wiki/Matthew_Taylor_(footballer,_born_1981)"
6TsDJBwk,https://en.wikipedia.org/wiki/Sacha_Kljestan
6Tw560ma,https://en.wikipedia.org/wiki/Barak_Yitzhaki
6TxHzVYT,https://en.wikipedia.org/wiki/Georges-Kevin_N%27Koudou
6V0rWuu1,https://en.wikipedia.org/wiki/Andrej_Kramari%C4%87
6VQS89LJ,https://en.wikipedia.org/wiki/Gianpaolo_Bellini
6X9DLFrk,https://en.wikipedia.org/wiki/Marco_Russo_(football)
6XMPoYMf,https://en.wikipedia.org/wiki/Antonio_Barreca
6XPsH2mg,https://en.wikipedia.org/wiki/Robert_Snodgrass
6XspevWc,https://en.wikipedia.org/wiki/Cenk_G%C3%B6nen
6XydaRuI,https://en.wikipedia.org/wiki/Diego_Demme
6ZDKV0GP,https://en.wikipedia.org/wiki/Deivid
6ZHcIISJ,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Castillo
6ZbYTgJO,https://en.wikipedia.org/wiki/Craig_Gordon
6aAe4kY7,https://en.wikipedia.org/wiki/Yann_Kermorgant
6aB4NW8D,https://en.wikipedia.org/wiki/Rachid_Ghezzal
6ajvAFEI,https://en.wikipedia.org/wiki/Aleksandr_Ryazantsev
