id,game,start,end,gap(sec),prev,target,subcategory,note
101337,germany_bundesliga/2015-2016/2015-09-26 - 16-30 1. FSV Mainz 05 0 - 3 Bayern Munich,30:14:00,30:26:00,4,"Aber ich sag mal, zumindest ein halber Elfmeter war das ja eigentlich auch schon. Was auf der anderen Seite dann Yoshinori Muto hatte in der 25.","Minute nach schöner Vorarbeit von de Blasis, als er frei steht knapp neben das Tor von Manuel Neuer zielte.",Relevant,
148032,italy_serie-a/2016-2017/2017-02-19 - 17-00 Chievo 1 - 3 Napoli,18:55,18:58,3,Правда у него повреждения было в какой-то момент. Но 9 матчей за Дженну провел.,3 гола забил.,Relevant,
187746,spain_laliga/2016-2017/2016-09-21 - 23-00 Barcelona 1 - 1 Atl. Madrid,42:14:00,42:17:00,2,"Jugado sobre Griezmann. Griezmann, Felipe Luis.",Calva la primera entrada de Sergio Busquets.,Relevant,付加的情報ではない。映像（の切り替え）に関連する
118132,italy_serie-a/2014-2015/2015-05-10 - 21-45 Lazio 1 - 2 Inter,34:25:00,34:43:00,6,Massa spotting the foul by Guarin. Inter of course host Juventus next Saturday night at the San Siro.,Juventus already been crowned champions and they play Real Madrid midweek.,Relevant,
591,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,36:13:00,36:31:00,11,"Quiero parar un poco en él y subrayarlo porque me encantaría que nos lo repitieran además. Porque ante una buena presión, que es la que está haciendo el Burnley, no es perfecta, pero yo creo que tiene bastante nivel.","El Chelsea ha salido con un simple toque, gracias al dominio del espacio y a la visión y la capacidad para jugar de primera de Sefábregas que con un simple toque ha desarmado una presión entera.",Relevant,
59327,europe_uefa-champions-league/2014-2015/2015-04-21 - 21-45 Barcelona 2 - 0 Paris SG,24:55:00,25:01:00,4,"Alves, Messi, Verratti, and Messi keeping up the pressure. And it's actually started the game really well, Verratti.",Showboating here with Dani Alves and Lionel Messi.,Irrelevant,
175203,spain_laliga/2015-2016/2015-09-26 - 19-15 Real Madrid 0 - 0 Malaga,19:22,19:46,5,"Hablaba de los errores en el pase del Real Madrid, de esas pérdidas de balón. Pero muchas de esas pérdidas cada vez más están propiciadas por el acierto del Málaga y su buena situación en el terreno de juego.","Sí, el Málaga está apretando bien sobre todo en el centro del campo y el Real Madrid, bueno, yo creo que tiene que tener un poquito más de paciencia y elaborar como los cinco primeros minutos que ha hecho llevar el balón de Marcelo a Carvajal sin tener ningún tipo de prisa.",Relevant,
91352,france_ligue-1/2016-2017/2017-02-10 - 22-45 Bordeaux 0 - 3 Paris SG,22:25,22:28,6,Voilà Verratti tout à l'heure lorsqu'il a peut-être perdu sa chaussure. Lorsqu'il a été touché surtout.,On sait qu'il souffrait du mollet.,Relevant,付加的情報じゃない
201682,spain_laliga/2016-2017/2017-03-18 - 18-15 Ath Bilbao 1 - 2 Real Madrid,10:00,10:24,3,"No tiró, podía haber tirado, estaba en muy buena posición. Lo vio muy claro Cristiano que había apresurado su carrera y terminó el Madrid desaprovechando una gran ocasión de gol ante una jugada extraordinaria de Carvajal.",En ningún caso andábamos equivocados cuando apuntábamos en la previa Santi la importancia de lo que pudiera pasar en la zona que ocupan los laterales del Real Madrid tanto en ataque como en defensa.,Relevant,
8469,england_epl/2015-2016/2015-09-26 - 17-00 Leicester 2 - 5 Arsenal,10:51,11:00,4,Qui trouve des brèches aussi pour Vardy. Paul Brighton qu'on n'a pas encore vu mais qui a une vraie belle qualité de passe.,D'ailleurs il est passeur 3 fois depuis le début de saison.,Relevant,
