id,game,start,end,text,付加的情報か,大分類,小分類,備考
4541,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,23:37,23:46,"Speaking to fans before the game, they certainly weren't coming into the ground on spy, I don't know whether you felt the same thing, Martin.",0,,,spy => spike?
4556,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,24:46,25:04,"Still standing firm, 25 minutes gone, 0-0.",0,,,
4608,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,29:18,29:24,Keepers love it at that height.,0,,,
4649,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,32:26,32:34,"Arsenal's confidence at the moment, both the holding midfield players were pushing up to join in the attack.",0,,,
4667,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,33:54,34:00,Liverpool lead to Barcelona.,0,,,
4705,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,37:24,37:57,Alberto Moreno.,0,,,
4866,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,02:14,02:21,I think Juventus' transfer is more important.,0,,,
4898,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,04:05,04:12,Kielin.,0,,,
5025,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,14:01,14:07,Di Balla plays the ball to Dani Alves.,0,,,
5033,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,14:25,14:31,He won the Champions League several times.,1,,,
5058,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,15:56,16:02,I never doubted that Juventus would win.,0,,,
5160,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,25:46,25:55,Although I think there are other contenders.,0,,,
5170,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,26:37,26:53,Massimiliano Allegri.,0,,,
5204,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,29:49,29:55,Petrushan has to score again.,0,,,
5275,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,34:12,34:19,"Undoubtedly, he is qualified for the most important role.",0,,,迷。付加的情報混じりの感想
5347,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,39:28,39:32,Dybala again with the ball.,0,,,
5371,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,40:37,40:46,At least many remember his saves in the match against France.,1,,,
5538,2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund,19:41,19:45,But that's how it can also go.,0,,,
5640,2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund,33:59,34:10,"So, okay, I think that's standard now, although everyone else saw that there was something.",0,,,
5663,2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund,36:32,36:46,"But again, good, but actually Kaiser slipped away beforehand.",0,,,ファールシーンで、削られた側がうまくいなしている状況
5666,2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund,36:50,37:02,"As a central defender, I don't know how Badr is under pressure.",0,,,
5712,2017-01-21 - 19-00 Nantes 0 - 2 Paris SG,00:44,00:55,Yassine Bamou for the center in the direction of Salah.,0,,,
5770,2017-01-21 - 19-00 Nantes 0 - 2 Paris SG,05:08,05:11,"No, because it's cut by Leo Dubois.",0,,,
5924,2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,07:44,07:47,The championship is very exciting.,0,,,迷
5954,2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,08:49,08:55,Malaga are trying to put pressure on them.,0,,,
5995,2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,10:09,10:11,It's perfect for Isco.,0,,,
6040,2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,11:42,11:48,Malaga's pressure is going down to the floor to get the ball out for Mikel.,0,,,1と迷った
6062,2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,12:26,12:28,Danilo's fallen asleep.,0,,,罵倒の意を込めた比喩表現
6068,2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,12:33,12:36,He's caught the ball.,0,,,
6119,2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,43:47,43:59,Two points for Malaga and two points for Barcelona.,1,,,
6139,2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,44:52,44:56,...doesn't participate in the play.,0,,,完全な文章ではない
6151,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,00:19,00:25,He passes it to Casemiro to pick up the ball.,0,,,
6158,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,00:36,00:40,A wonderful pass from Denis.,0,,,
6288,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,06:28,06:33,So it will be a goal kick.,0,,,
6377,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,12:19,12:23,The assist is from Gareth Bale.,0,,,
6404,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,14:23,14:31,"Denis, more from Brais, Brais in the first, the bull does not arrive, the rebound can favor Aspas.",0,,,
6446,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,19:46,19:57,"Modric got into a trap, he wanted to get out of it, provoking a corner.",0,,,
6559,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,27:48,27:54,"Well, no, it was finally Marcelo's hand.",0,,,
6721,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,38:49,38:57,"Lobotka, pressed by Kroos.",0,,,
6810,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,42:41,42:45,He's in a hurry to get Ruben.,0,,,
6881,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,45:21,45:25,He's got it again.,0,,,
